作品名,year,member,design Category,Role,Achievements,カテゴリー,簡単な説明(3行),詳しい説明,伝えたいこと・掲載目的,予定ページ数,列 12
THE CRAB,2022 b4,1,game design / concept deign / UI design,-,Grand prize in the intern competition,Independent production,THE CRABは横歩きしかできないカニの特徴を生かした戦略パズルゲームです。,"このゲームの主人公は平面に生きるペラペラのカニです。このカニは自力で曲がることができません。アイテムを使って、カニの通り道を変えてあげましょう。
",ゲームが作れるUI。エンタメ系UIだよ。重めにしたいな。,5,
ぜろぜろ研究所,2023 m1,5,concept design,leader,,-,"
文化編集特論の授業課題
『無』テーマにしたガチャガチャの制作","
文化編集特論という授業の中で、『無』の概念を閉じ込めたガチャガチャを制作しました。私たちは、無の形の一つである『0』に注目し、日常のものの『0』の形を考えるおもちゃシリーズを提案しました。私は、コンセプト立案、3Dモデル制作、グラフィックを担当しま
した。
",グラフィックができる/toCエンタメ（上流・下流）/販売までやった,1,
シブヤ・ジャングル,2023 m1,3,motion design / movie,動画制作,Shibuya Scramble Square screen,-,"渋谷の魅力を表現した
1５秒のモーショングラフィックス","
授業内の産学連携プロジェクトで、
渋谷スクランブルスクエアで放映する15秒の映像作品を制作しました。
フィールドワークから、渋谷の魅力は、『いつ行っても知らない一面がある』『少し怖いけど、
どんどん進みたくなる』点にあると考え、渋谷をジャングルに例えて表現しました。

渋谷スクランブルスクエアにて放映！！ 渋谷スクランブルスクエアにて放映！！
渋谷スクランブルスクエアの特大モニターに
2024年11月から1年の間、放送されました。",グラフィックができる。映像も作れる。,5,
TAScall,2022 b4,1,product design,-,Winner of the PERSOL Award / Kiraboshi Bank Award,-,"持病がある若年層のための意思表示サポートサービス",TAScallは、持病があるものの、日常的に周囲に自分の病状を伝え続けることに負担を感じる若年層に向けて制作した、意思表示サポートサービスです。緊急時には伝えられない本人の代わりに周囲に意思表示を行い、助けを求める手助けをしてくれます。,TAScallに変更,5,
Koyart,2021 b3,5,interior design,エンジニアリング/コンセプトデザイン,Exhibited at Yokosuka Museum of Art,-,"お家のような野菜販売所と詩を詠う家具
","研究室で参加したプロジェクト Koyart にて、野菜の販売所と
その前の広場をデザインしました。私たち同期 5 人は、穴から音のする小さな家具を制作、配置することで、広場をデザインしました。
『コンコンコン...』詩を詠むようなリズムで音が聞こえてくる“気づく”心を養う家具をデザイン
私たちは、穴の空いた小さな家具を複数制作し、広場に置きました。
家具の穴を覗くと、中から叩く音が聞こえてきます。
座って休んだり、おしゃべりできる場所を作るとと共に、不思議なリズムによって、近くを通るだけで、自然と無人販売所に興味を持ってもらえるような広場を作りました。",-,5,
その他：workvue,2022 b4,1,UIUX design,-,,-,フィールドワークから、渋谷の魅力は、『いつ行っても知らない一面がある』『少し怖いけど、,,-,1,
barefootpedal,2023 m1,3,product design / concept design,プロダクトデザイン,,-,"裸足が持つ根源的な魅力を再発見する
素足で自転車に乗るためのペダル","誰もが持つ裸足への衝動を受け止め、裸足の在り方を問い直すペダルの提案です。急速に移ろいゆく現代社会の中でも、素直な衝動を大切にして欲しい、そんな思いから制作しました。誰もが持つ裸足への衝動を受け止め、裸足の在り方を問い直すペダルの提案です。
",-,5,
その他：サイクルハック,2023 m1,1,Exhibition planning,-,Exhibited on campus,-,"学部生授業課題
『サイクルハック』の展示を設計","
TAとして参加していた学部生の授業の最終展示を設計しました。
『街に寄生する自転車をデザインする』という授業課題から、
コンセプトを、『大学構内の風景に溶け込むような寄生する展示』
とし、それを体現する方法を模索しました。",-,1,
その他：B類運営,2024 m2,50+,volunteer activities,leader,Grew the organization from 20 to 50+ members,-,サークルを設立し1-2 期目の代表にメンバーを2年で20人から50人へ,修士一年でサークルを設立しました。初年度、仲間の数人から始まり、規模が徐々に拡大。2年で人数が倍増しました。スポーツを通じて『学年や、研究室を超えた交流の機会を作る』というスローガンを掲げ、月3回ほどの活動をしています。,-,-,
silkbiocraft,2024 m2,1,product design / speculative design,-,JIDF Finalist,-,SILK bio-craftは、蚕の持つ習性の一つである平面吐糸に着目、特殊な装置を用い平面吐糸を誘引することで、蚕と人の共創によって作品を作り上げることを可能とした手法と新たな工藝のあり方の提案です。,"本プロジェクトは、秩父養蚕農家での2年のフィールドワークと実践ののち制作されました。
SILK bio-craftは人が蚕に快適な環境用意し、蚕が糸を吐くことで完成する本製法では、右のような装置に蚕を配置し表面に糸を吐かせることで作り上げます。この装置は、蚕の動きを誘導し、糸を均一に吐かせる機能を持ちます。これは、養蚕農家で均質な繭を取るために用いられる道具である回転まぶしにヒントを得て設計されました。蚕の登上性(重力と逆方向に進む習性)を応用し、蚕が上に集まりバランスが変わることで、自然と装置が回転する仕組みになっています。


本手法では、『平面吐糸』という蚕の習性を用います。これは、蚕を平面に配置することで、球体を形成する通常の糸の吐き方ではなく、平面に糸を吐くというものです。平面吐糸では、蚕は、頭部を『八の字』に動かしながら吐糸を行う。この運動が平面にそのまま定着することで、光を微細に反射する面として生まれます。これによって、蚕の自律的な運動に由来する「生命の気配」や、「時間の積層」といった蚕の生命活動（意味）が、時間とともに質感、光学的な現象として物質表面へ定着します。",-,-,
